date,Housing CPI,unemployment rate,Domestic Households,total income,land area,land price,Total loans approved,sentiment,Domestic Price Indices
2002-1,72.7,6.3,2079.5,103629.3333,0,0,11467,6.392807018,74.1
2002-2,72.5,6.6,2083.8,103629.3333,10290,301,7947,6.933953488,73.9
2002-3,72.2,6.9,2087.2,103629.3333,0,0,8206,5.776454545,73.3
2002-4,71.9,7.1,2091.7,103079.6667,48170,2970,8816,5.716956522,72.3
2002-5,71.7,7.3,2097.1,103079.6667,0,0,10209,5.808039216,72.4
2002-6,71.4,7.6,2101.7,103079.6667,2759.2,422,10458,5.729090909,71.9
2002-7,71.4,7.8,2106.5,110915.3333,0,0,7290,3.703968254,70.9
2002-8,71.1,7.8,2111,110915.3333,0,0,6139,4.826326531,68.3
2002-9,70.8,7.6,2111.8,110915.3333,2980.4,373,8565,4.015769231,66.7
2002-10,70.7,7.4,2111.8,113678,0,0,7167,5.265416667,65.4
2002-11,70.3,7.2,2113.8,113678,0,0,6708,4.208709677,65.1
2002-12,69.8,7.2,2112.5,113678,0,0,5573,4.035757576,64.8
2003-1,71.3,7,2111.4,107454.6667,0,0,7234,4.51,63.6
2003-2,70.8,7.3,2108.4,107454.6667,0,0,3966,5.455384615,63.4
2003-3,70.4,7.4,2109.4,107454.6667,0,0,5117,6.626,61.2
2003-4,69.8,7.8,2113.4,97117.66667,0,0,6467,6.832857143,60.5
2003-5,69.3,8.2,2116.4,97117.66667,12289,352.8,5141,5.266666667,59.7
2003-6,68.6,8.5,2121.2,97117.66667,0,0,5282,5.503,59.3
2003-7,66,8.8,2127.4,108854.6667,0,0,6722,8.845714286,58.4
2003-8,65.5,8.8,2133.1,108854.6667,0,0,7635,5.95875,58.6
2003-9,65.1,8.5,2136.5,108854.6667,8044.7,234.49,5849,6.258108108,60.9
2003-10,66.7,8.1,2136.8,112537,0,0,8503,6.820909091,63.4
2003-11,66.3,7.6,2138.3,112537,0,0,8935,6.510714286,64.3
2003-12,66,7.2,2141.4,112537,0,0,8631,6.055714286,65.4
