,title,time
0,香港置地指旗下写字楼的空置率约5.5%(299),2021-11-18
1,团结香港基金对公屋总建屋量预测调整感失望(517),2021-11-16
2,"香港""北部都会区""效应洪水桥住宅项目热销(423)",2021-11-11
3,香港盛洋投资终止出售美国写字楼物业买卖方存在意见分歧(481),2021-11-08
4,香港合能控股赴港递交招股书总土地储备440万平方米(401),2021-10-31
5,香港华人置业以7771.02万美元出售本金额2.55亿美元佳兆业...,2021-10-28
6,香港住宅楼价自2021年7月创新高后连续两月回落(380),2021-10-27
7,"香港修订强积金条例为""积金易""平台提供法律基础(541)",2021-10-22
8,香港丽新发展2021全年录得营收59.87亿港元已确认销售25亿...,2021-10-22
9,香港特区立法会通过房租务管制条例草案(579),2021-10-20
10,"北部都会区将助力香港实现""二次腾飞""(1552)",2021-10-15
11,高质量发展提升市场信心-香港上坤地产获大股东增持445万股(1110),2021-10-15
12,香港2021年4月私宅售价指数创21个月新高(562),2021-10-15
13,2021年4月香港楼价指数连升4个月创21个月新高(111),2021-10-15
14,香港阳光100中国2021前9月销售额26亿元同比下降54%(340),2021-10-12
15,2021年9月份香港时代中国合同销售金额68.9亿元同比减少33...,2021-10-12
16,"香港林郑月娥称2021年施政报告针对""十四五""规划制定对接方案(...",2021-10-07
17,行政长官施政报告聚焦香港土地房屋供应(785),2021-10-06
18,行政长官施政报告聚焦香港土地房屋供应(778),2021-10-06
19,港府有信心解决困扰香港多年的楼市问题(568),2021-10-06
20,香港祥生控股2021年前3季度合约销售额642.81亿(196),2021-10-06
21,香港建发国际2021年1-9月合同销售金额1015.29亿同比增...,2021-10-05
22,香港公布2021年4季度售地计划楼市供应或创下近年来单季度新高(...,2021-09-30
23,香港港Q房网改以特许经营店模式运作(450),2021-09-30
24,香港中汇集团就于华商学院四会校区建造教学设施而订立建造协议(106),2021-09-30
25,香港太古地产牵手陆家嘴集团-上海前滩太古里正式开业(514),2021-09-30
26,"香港经民联倡释放新界土地打造港深经济融合""连接带""(544)",2021-09-29
27,莱坊料香港2021年住宅楼价会升8%(400),2021-09-28
28,"香港民建联倡提早预售远期""居屋""助年轻人置业(466)",2021-09-26
29,香港华润置地汕头万象城开业建筑面积约17.6万平方米(652),2021-09-26
30,香港远东发展12.2亿港元出售新加坡永久业权公寓发展项目(527),2021-09-17
31,香港恒指跌2%至2021年低位内房股跌幅扩大科技股维持弱势(519),2021-09-16
32,恒基兆业以81.89亿港元中标香港土瓜湾庇利街项目(554),2021-09-10
33,"香港建业集团回应""50亿危机""-面临困难有信心完成全年700亿元...",2021-09-10
34,香港建发国际收购长沙及厦门两项目需接手债务及土地金逾20亿(1139),2021-09-09
35,新世界发展33.75亿收购上海香港新世界大厦余下50%权益(397),2021-09-08
36,"新力服务香港港交所上市申请资料届满""失效""(442)",2021-09-07
37,调查指三成六受访市民料香港房价将升(573),2021-09-06
38,长沙2宗宅地17.22亿成交大汉城建香港五矿地产各落一子(476),2021-09-03
39,香港合生创展2021年上半年营业额升4成有息负债1154亿港元(...,2021-09-02
40,香港合富辉煌2021年上半年营业额39亿港元(324),2021-08-31
41,香港绿景中国唐寿春称未来3-5年将紧扣深圳珠海化州7大项目(289),2021-08-30
42,2021年上半年香港佳源国际行稳致远净负债率创公司历史新低(1783),2021-08-29
43,香港佳源国际有信心未来相当长时间保持绿档(1593),2021-08-27
44,投销比近69%销售单价创三年新低的香港华润置地要提高毛利率(1541),2021-08-27
45,2021年上半年权益拿地额超700亿元香港华润置地青睐一二线市场...,2021-08-27
46,香港鹰君中期核心业务收益上升53.9%至25.64亿港元(610),2021-08-26
47,世邦魏理仕获发香港物业管理公司牌照(139),2021-08-24
48,"万科为香港公司14.87亿港元贷款提供担保并完成H股""以股代息""...",2021-08-24
49,广州恒大拟百亿港元出售香港总部旗下公司市值一天蒸发320亿(1076),2021-08-23
50,"瞄准""湾区所向""珠海格力地产为""粤港合作""精准赋能(1308)",2021-08-23
51,"香港失业率""五连降""按揭利率低企二手楼价创历史新高(1803)",2021-08-19
52,香港ESR2021年上半年公司拥有人应占净利同比增60.9%至2...,2021-08-19
53,香港价值1亿以上豪宅成交量2021年上半年同比增长5倍(540),2021-08-19
54,香港多个政团提交<>建议聚焦土地房屋等经济民生问题(...,2021-08-17
55,汇丰研究预期香港太古地产2021年下半年持续复苏上调目标价(349),2021-08-16
56,香港公屋申请平均轮候时间5.8年-政界人士冀增加供应(654),2021-08-12
57,香港天安预计2021年上半年净利同比增长75%-85%(172),2021-08-12
58,香港港铁集团2021年上半年股东应占净利为26.73亿港元(914),2021-08-12
59,香港太古地产2021年上半年营收91亿港元持续出售非核心资产(717),2021-08-12
60,香港佳源国际2021年1-7月销售216亿同比上升56%(132),2021-08-10
61,香港保利置业2021年前7月合约销售额339亿元完成全年目标的5...,2021-08-06
62,瑞银下调香港九龙仓置业目标价至38.3港元(348),2021-08-06
63,香港长实集团2021年上半年营收降17%(1227),2021-08-06
64,香港九龙仓置业2021年上半年营收74.85亿港元股东应占盈利2...,2021-08-05
65,香港2021年上半年超级豪宅成交量增61%(351),2021-08-05
66,香港旭辉控股2021年1-7月销售额1570.3亿元同比增长52...,2021-08-04
67,香港祥生控股2021年1-7月累计销售额552.4亿元(137),2021-08-04
68,香港盈大地产2021年上半年收入2.12亿港元亏损增加83%至约...,2021-08-04
69,香港长城环亚控股盈喜预计2021年中期综合盈利3.91亿至4.3...,2021-08-03
70,香港太古地产2021年2季度香港整体办公楼租用率达96%(167),2021-08-03
71,香港恒隆集团2021年上半年净利润15亿港元内地租赁收入同比增4...,2021-07-30
72,香港代理料楼价2021年8月突破历史高位(654),2021-07-28
73,香港2021年6月楼价指数按月持平专家指后市向好(379),2021-07-28
74,香港华润万象生活2021年上半年拥有人应占溢利预增130%至14...,2021-07-27
75,莱坊料香港豪宅价全年涨5%(738),2021-07-26
76,香港首宗土地共享先导计划为南丰发展旗下大埔露辉路及汀角路(631),2021-07-22
77,"广州南沙区启用""港澳新青寓""港澳青年拎包入住(656)",2021-07-16
78,香港特首称未来一年加倍努力做好房屋和土地供应(802),2021-07-15
79,香港经络按揭转介料2021年楼价同比升逾一成(841),2021-07-14
80,中海物业中标香港飞行服务队启德分部保安服务合约(546),2021-07-14
81,香港佳源国际2021年上半年合同销售额191.27亿同比上涨64...,2021-07-13
82,香港福晟国际2020年营收11.65亿净利下跌超十倍至亏损13....,2021-07-13
83,香港华润置地2021年6月销售同比增长21.8%新增7幅地块(347),2021-07-13
84,香港2021年上半年仅5宗强拍申请按年减67%(236),2021-07-13
85,报告称香港房地产市场处于转折点(628),2021-07-13
86,2021年7月12日香港领悦服务集团上市首日收于4.19港元/股...,2021-07-12
87,香港佳源国际2021上半年合同销售额191.27亿同比上涨64%...,2021-07-11
88,香港金朝阳2亿港元购香港葵涌南华冷房大厦部份物业(462),2021-07-07
89,"香港将修例管制""房""租务(521)",2021-07-06
90,香港莱蒙国际2021年上半年预售额约13.6亿港元九成来自香港及...,2021-07-05
91,渣打香港为英国施罗德资本提供绿色贷款协助其收购荃湾有线电视大楼(...,2021-07-01
92,香港2021年第二季豪宅租金微升结束八季连跌(1437),2021-07-01
93,香港车位成交价创全球最贵纪录一个车位换北上广一套房(458),2021-06-30
94,香港豪宅单个车位1200万港元成交刷新全球最贵纪录(299),2021-06-29
95,"香港建业与荣华签署战略合作协议""大中原战略""助力陕西三秦(1715)",2021-06-29
96,香港力高地产集团拟发行6亿元优先票据年利率10.5%(261),2021-06-28
97,香港远东发展2021年财年收益59亿港元同比下降20.2%(332),2021-06-25
98,香港古洞住宅地截标收佳兆业.长实等15份标书(586),2021-06-25
99,绿地香港与黑牡丹开发无锡地块其前5月完成年目标仅两成(784),2021-06-25
100,"香港""同心村""过渡房2076个建筑模块均为深企制造(652)",2021-06-25
101,香港兴业2021年度总收入39.42亿港元归母年度溢利8.97亿...,2021-06-23
102,香港合生创展集团拟发行2亿美元6.8%优先票据(204),2021-06-22
103,"香港楼市现""打新""潮新盘超额认购175倍(242)",2021-06-22
104,香港新界古洞7624平方米宅地将于2021年6月25日起招标(173),2021-06-21
105,香港金融发展局推动香港房托基金多元发展(1384),2021-06-17
106,香港千万车位创全球新高(790),2021-06-17
107,香港嘉华国际与第一太平戴维斯签署战略合作推进大湾区精品住宅市场(...,2021-06-17
108,林郑月娥称香港特区政府会全速落成过渡性房屋单位(531),2021-06-16
109,香港金辉集团拟发行13.5亿元债券用于置换已偿还到期的公司债券(...,2021-06-15
110,建灏地产6.18亿港元中标香港橡树街项目(378),2021-06-11
111,香港佳源国际2021年1-5月合同销售额127亿同比上升约63%...,2021-06-10
112,香港力高集团分拆旗下物管力高健康生活于港交所上市(150),2021-06-09
113,香港德祥地产9500万港元继续收购上海漕河泾万丽酒店权益(682),2021-06-09
114,"2021年上半年香港楼市提早现""小阳春""(587)",2021-06-08
115,"2021年上半年香港楼市提早现""小阳春""(583)",2021-06-08
116,经济复苏带动香港楼市升温2021年第3季度楼价有望重回高峰(526),2021-06-08
117,香港政团建议特区政府采多元方法解决房屋问题(616),2021-06-07
118,美联称香港2021年5月逾2000万港元住宅注册量创34个月新高...,2021-06-04
119,香港合生创展2021年1-5月实现合约销售额181.52亿元同比...,2021-06-03
120,香港2021年5月住宅买卖合约总值按年涨46%(471),2021-06-02
121,香港特区政府积极解决房屋问题2019年至今收回90公顷土地(504),2021-06-02
122,永义国际成功中标香港九龙漆咸道北大厦中标价为3亿港元(444),2021-06-01
123,香港房委会上年度公屋及绿置居落成量创10年新低(138),2021-05-28
124,"""新香港人""入市豪宅香港二手楼价创21个月新高(263)",2021-05-28
125,高力国际指香港商用物业市场最坏的时刻已经过去(352),2021-05-26
126,香港金发局多方面入手提升香港房托基金市场流动性(458),2021-05-19
127,截至2021年4月香港房托基金总市值约2440亿港元(421),2021-05-19
128,万科香港95亿美元中票不会对财务造成显着影响(318),2021-05-17
129,香港华润置地登<>全球企业2000强第190位(295),2021-05-14
130,香港建业地产除权日股价腰斩分拆上市加速(859),2021-05-14
131,2021年香港中环写字楼租金中单位数跌幅(340),2021-05-13
132,香港佳源国际2021年1-4月合同销售额近96亿完成年度目标约2...,2021-05-12
133,利嘉阁估计2021年香港全年落成量可达1.6万至1.8万伙水平(...,2021-05-12
134,香港公屋平均轮候时间升至5.8年创22年新高(338),2021-05-11
135,香港公屋平均轮候时间升至5.8年创22年新高(338),2021-05-11
136,香港推出开放式基金型公司及房地产投资信托基金资助计划(331),2021-05-10
137,香港特区立法会综合大楼将扩建(411),2021-05-10
138,香港财库局局长表示投入5.7亿预算助香港把握全球金融新趋势(829),2021-05-09
139,香港过渡性房屋供应进展理想达标在望(665),2021-05-09
140,香港建业地产2021年1-4月销售微增至219.15亿(288),2021-05-06
141,标普料香港2021年楼价最多可升5%(556),2021-05-05
142,深圳顺丰房托香港首次公开发售料年化收益率可达5.9%(645),2021-05-04
143,香港现楼按揭宗数连升两月(459),2021-05-03
144,仲量联行指香港豪宅资本值于2021年1季度按季反弹0.8%(546),2021-05-03
145,香港运房局称未来3至4年一手住宅供应量9.3万伙近一年首度回升(...,2021-04-30
146,莱坊指香港豪宅租金仍是全球最高(258),2021-04-30
147,香港特区政府想方设法增加土地及公共房屋供应(1764),2021-04-27
148,香港林郑月娥称中央稍后会公布粤港澳大湾区下一步发展(183),2021-04-27
149,香港特区政府多种渠道提高土地及公共房屋供应(653),2021-04-22
150,分析估计香港古洞北住宅地估值54亿至60亿港元(354),2021-04-22
151,香港2020年花309亿元大湾区买房珠海.中山最受欢迎(1591),2021-04-21
152,团结香港基金发表土地房屋政策研究报告促加快推进造地计划(828),2021-04-21
